name,category,latitude,longitude,wiki_title,monthly_views
Kosciuszko Park,Parks & Outdoors,41.9309212,-87.7245091,Kosciuszko Park (Chicago),114.76923076923077
Miro's Chicago,Iconic Attractions,41.8830686,-87.6303775,Miró's Chicago,359.46153846153845
Monument With Standing Beast,Iconic Attractions,41.8847406,-87.6312138,Monument with Standing Beast,446.6923076923077
Four Seasons,Iconic Attractions,41.8810937,-87.6297893,Four Seasons (Chagall),571.1538461538462
Jane Addams Hull-House Museum,Museums & Galleries,41.8716506,-87.647398,,
Chicago Women's Park and Gardens,Parks & Outdoors,41.8571868,-87.6215118,Chicago Women's Park and Gardens,35.083333333333336
Henry B. Clarke House,Museums & Galleries,41.8570672,-87.6218774,Henry B. Clarke House,361.84615384615387
David and Alfred Smart Museum of Art,Museums & Galleries,41.7935122,-87.6001865,Smart Museum of Art,289.2307692307692
Illinois Holocaust Museum Presents Experience360,Museums & Galleries,41.8890241,-87.6285862,Illinois Holocaust Museum and Education Center,356.15384615384613
Dunbar Park,Parks & Outdoors,41.8402261,-87.6202766,Dunbar Park (Chicago),32.0
Armour Square Park,Parks & Outdoors,41.8336544,-87.6340047,Armour Square Park,85.61538461538461
Irish American Heritage Center,Museums & Galleries,41.9653234,-87.7445686,Irish American Heritage Center,225.3846153846154
Balzekas Museum of Lithuanian Culture,Museums & Galleries,41.7746301,-87.7229824,Balzekas Museum of Lithuanian Culture,99.61538461538461
Illinois Centennial Monument,Iconic Attractions,41.9283908,-87.7073273,Illinois Centennial Monument,259.9230769230769
Berger Park,Parks & Outdoors,41.9952878,-87.6549447,Berger Park,67.61538461538461
Austin Town Hall Park,Parks & Outdoors,41.8885148,-87.7657918,Austin Town Hall Park,66.84615384615384
National Hellenic Museum,Museums & Galleries,41.8770017,-87.6468455,National Hellenic Museum,168.84615384615384
Edison Park,Parks & Outdoors,42.0039899,-87.8174791,Edison Park (Chicago park),39.53846153846154
National Museum of Mexican Art,Museums & Galleries,41.8561735,-87.6729928,National Museum of Mexican Art,363.7692307692308
Portage Park,Parks & Outdoors,41.955066,-87.7645945,Portage Park (Chicago park),101.38461538461539
Ukrainian Institute of Modern Art,Museums & Galleries,41.8959798,-87.6851652,Ukrainian Institute of Modern Art,80.38461538461539
Alexander Von Humboldt Monument,Iconic Attractions,41.9054797,-87.7014749,Statue of Alexander von Humboldt (Chicago),71.15384615384616
Leif Ericsson Monument,Iconic Attractions,41.9067221,-87.7015621,Statue of Leif Erikson (Chicago),74.92307692307692
Swedish American Museum,Museums & Galleries,41.9766738,-87.668062,Swedish American Museum,143.69230769230768
Leather Archives and Museum,Museums & Galleries,41.9986421,-87.6683357,Leather Archives & Museum,990.9230769230769
Intuit: The Center for Intuitive and Outsider Art,Museums & Galleries,41.8953748,-87.6546037,Intuit: The Center for Intuitive and Outsider Art,27.23076923076923
Biograph Theatre,Iconic Attractions,41.9265205,-87.6498015,Biograph Theater,1838.6153846153845
Chinese American Museum of Chicago,Museums & Galleries,41.8512035,-87.6335249,Chinese American Museum of Chicago,88.0
Chess Studio,Museums & Galleries,41.8536137,-87.6242192,Chess Records,6206.7692307692305
Equestrian Indians (The Spearman),Iconic Attractions,41.8754986,-87.623491,The Bowman and The Spearman,736.6153846153846
Lion “in an attitude of defiance”,Iconic Attractions,41.8793952,-87.624144,Lions (Kemeys),380.9230769230769
Charnley-Pesky House Museum (James Charnley House),Museums & Galleries,41.9076645,-87.627534,James Charnley House,650.0769230769231
International Museum of Surgical Science,Museums & Galleries,41.9102188,-87.6267398,International Museum of Surgical Science,290.84615384615387
A. Philip Randolph Pullman Porter Museum,Museums & Galleries,41.7053741,-87.6030693,,
Milton Lee Olive Park (PFC Milton Lee Olive III Park),Parks & Outdoors,41.8944583,-87.6106976,Milton Lee Olive Park,167.07692307692307
Stony Island Arts Bank,Museums & Galleries,41.77169,-87.586656,Stony Island Trust and Savings Bank Building,39.84615384615385
Dinah Washington Park,Parks & Outdoors,41.7454405,-87.5767268,Dinah Washington Park,39.84615384615385
Park No. 538 (Thillens Park),Parks & Outdoors,42.0046166,-87.709863,Thillens Stadium,182.30769230769232
Jane Addams Park,Parks & Outdoors,41.8624552,-87.6627126,Addams Park,31.76923076923077
Maggie Daley Park,Parks & Outdoors,41.8827196,-87.6176085,Maggie Daley Park,446.0
Western Springs Water Tower,Museums & Galleries,41.8097533,-87.9009195,Western Springs Water Tower,82.6923076923077
William W. Powers State Recreation Area,Parks & Outdoors,41.6629746,-87.5322686,William W. Powers State Recreation Area,94.23076923076923
Polk Bros Park,Parks & Outdoors,41.8913122,-87.6116581,Polk Bros Park,125.46153846153847
Chicago Stock Exchange Arch,Iconic Attractions,41.8806744,-87.6211756,Chicago Stock Exchange Arch,284.2307692307692
Bronzeville Children's Museum,Museums & Galleries,41.7257228,-87.5844938,Bronzeville Children's Museum,87.23076923076923
Wonder Works Children's Museum,Museums & Galleries,41.9088713,-87.7870661,Wonder Works,46.92307692307692
Ernest Hemingway Birthplace Museum,Museums & Galleries,41.8927733,-87.7950512,Birthplace of Ernest Hemingway,691.8461538461538
Little Village Arch,Iconic Attractions,41.8445498,-87.7033179,"South Lawndale, Chicago",1393.7692307692307
Paseo Bourica Gateway Flags,Iconic Attractions,41.9030198,-87.6881518,Paseo Boricua,354.0769230769231
Chicago Riverwalk,Parks & Outdoors,41.8872333,-87.6258243,Chicago Riverwalk,896.0769230769231
Buckingham Fountain (Clarence Buckingham Memorial Fountain),Iconic Attractions,41.8758019,-87.6189721,Buckingham Fountain,3018.846153846154
Statue of the Republic,Iconic Attractions,41.7796062,-87.5799028,Statue of The Republic,1114.3846153846155
Benjamin Franklin,Iconic Attractions,41.9138025,-87.6310959,Statue of Benjamin Franklin (Chicago),39.15384615384615
Graue Mill (name=Graue Mill & Museum),Museums & Galleries,41.8205839,-87.9274892,Graue Mill,215.69230769230768
John Alexander Logan Monument,Iconic Attractions,41.8706199,-87.6234634,General John Logan Memorial,293.3076923076923
Man Enters The Cosmos,Iconic Attractions,41.8667661,-87.6071237,Man Enters the Cosmos,588.6153846153846
Park No. 474,Parks & Outdoors,41.8355094,-87.6275114,Park No. 474,169.07692307692307
Captain on the Helm,Iconic Attractions,41.8907192,-87.6096979,Captain on the Helm,46.23076923076923
Ogden Plaza,Parks & Outdoors,41.890282,-87.6199496,Ogden Plaza Park,23.53846153846154
Crossing,Iconic Attractions,41.8885748,-87.6325313,Crossing (sculpture),27.923076923076923
Constellation,Iconic Attractions,41.8862642,-87.638929,Constellation (sculpture),74.0
National Public Housing Museum,Museums & Galleries,41.8698693,-87.6597742,National Public Housing Museum,121.61538461538461
Marquette and Joliet Explorer Statue,Iconic Attractions,41.8053075,-87.8030562,Chicago Portage National Historic Site,192.76923076923077
Robert Cavalier de LaSalle,Iconic Attractions,41.9133732,-87.6327487,Statue of Robert Cavelier de La Salle,54.23076923076923
Richard Oglesby Monument,Iconic Attractions,41.9301485,-87.6370807,Statue of Richard J. Oglesby,47.07692307692308
Alexander Hamilton Monument,Iconic Attractions,41.9317129,-87.6384365,Statue of Alexander Hamilton (Chicago),256.3076923076923
John Peter Altgeld Momument,Iconic Attractions,41.9321937,-87.6375298,John Peter Altgeld,1340.1538461538462
Obama Presidential Center Museum,Museums & Galleries,41.7862624,-87.5858794,Barack Obama Presidential Center,54880.46153846154
South Shore Cultural Center,Parks & Outdoors,41.7698051,-87.5629577,South Shore Cultural Center,505.6923076923077
The Art Institute of Chicago,Museums & Galleries,41.8795594,-87.6225683,Art Institute of Chicago,9902.0
